,Label,Time,Yaw,Pitch,Roll,Heading,Ax,Ay,Az,gx,gy,gz,mx,my
0,3,323174.0,-86.17,86.03,-122.55,-93.12,-0.88,-0.15,-0.67,0.02,0.14,-0.02,0.25,-0.07
1,3,323184.0,-99.36,84.74,-135.52,-104.35,-0.89,-0.17,-0.71,0.02,0.13,-0.02,0.25,-0.07
2,3,323194.0,-107.33,83.32,-143.27,-116.28,-0.89,-0.2,-0.71,0.02,0.13,-0.02,0.24,-0.06
3,3,323204.0,-112.75,81.88,-148.43,-119.99,-0.89,-0.18,-0.78,0.02,0.13,-0.01,0.24,-0.06
4,3,323214.0,-116.69,80.44,-152.1,-122.18,-0.89,-0.18,-0.81,0.02,0.12,-0.01,0.24,-0.06
5,3,323224.0,-119.74,79.02,-154.86,-123.4,-0.89,-0.17,-0.83,0.03,0.12,-0.01,0.24,-0.06
6,3,323234.0,-122.17,77.62,-156.98,-123.9,-0.89,-0.17,-0.85,0.03,0.12,-0.01,0.24,-0.06
7,3,323244.0,-124.12,76.22,-158.59,-129.95,-0.9,-0.17,-0.85,0.03,0.12,-0.01,0.24,-0.06
8,3,323254.0,-125.77,74.86,-159.9,-129.83,-0.89,-0.16,-0.87,0.03,0.11,-0.01,0.24,-0.06
9,3,323264.0,-127.16,73.52,-160.95,-129.37,-0.89,-0.17,-0.87,0.03,0.11,-0.0,0.24,-0.06
10,3,323274.0,-128.31,72.24,-161.78,-128.63,-0.92,-0.19,-0.9,0.03,0.1,-0.0,0.24,-0.06
11,3,323284.0,-129.27,70.99,-162.41,-127.61,-0.94,-0.21,-0.93,0.03,0.1,-0.0,0.24,-0.06
12,3,323294.0,-130.09,69.77,-162.89,-131.32,-0.94,-0.2,-0.91,0.03,0.1,-0.01,0.23,-0.05
13,3,323304.0,-130.86,68.57,-163.3,-130.2,-0.93,-0.18,-0.92,0.03,0.1,-0.0,0.23,-0.05
14,3,323314.0,-131.61,67.43,-163.73,-129.09,-0.93,-0.12,-0.92,0.03,0.09,-0.0,0.23,-0.05
15,3,323324.0,-132.27,66.29,-164.09,-127.83,-0.94,-0.14,-0.95,0.03,0.09,-0.01,0.23,-0.05
16,3,323334.0,-132.85,65.21,-164.41,-126.48,-0.94,-0.12,-0.94,0.03,0.09,-0.01,0.23,-0.05
17,3,323344.0,-133.31,64.18,-164.59,-132.03,-0.95,-0.1,-0.92,0.03,0.08,-0.01,0.22,-0.05
18,3,323354.0,-133.71,63.19,-164.7,-130.75,-0.98,-0.1,-0.89,0.03,0.08,-0.01,0.22,-0.05
19,3,323364.0,-134.04,62.25,-164.73,-129.35,-0.98,-0.12,-0.89,0.03,0.07,-0.01,0.22,-0.05
20,3,323374.0,-134.31,61.36,-164.69,-127.86,-0.98,-0.14,-0.94,0.03,0.07,-0.01,0.22,-0.05
21,3,323384.0,-134.55,60.56,-164.65,-126.46,-0.96,-0.11,-0.86,0.03,0.06,-0.01,0.22,-0.05
22,3,323394.0,-134.68,59.81,-164.57,-129.83,-0.98,-0.15,-0.81,0.02,0.06,-0.01,0.22,-0.05
23,3,323404.0,-134.73,59.08,-164.38,-128.37,-0.98,-0.19,-0.87,0.03,0.05,-0.02,0.22,-0.05
24,3,323414.0,-134.73,58.42,-164.1,-126.87,-0.97,-0.2,-0.86,0.03,0.05,-0.02,0.22,-0.05
25,3,323424.0,-134.69,57.87,-163.83,-125.51,-0.99,-0.19,-0.8,0.03,0.04,-0.02,0.22,-0.05
