,Label,Time,Yaw,Pitch,Roll,Heading,Ax,Ay,Az,gx,gy,gz,mx,my
0,Frontcrawl,434124.0,-67.75,84.57,-109.81,-80.93,-0.92,-0.28,-0.6,0.04,0.17,-0.01,0.24,-0.05
1,Frontcrawl,434134.0,-83.49,83.49,-125.06,-94.3,-0.91,-0.27,-0.66,0.04,0.17,-0.0,0.24,-0.05
2,Frontcrawl,434144.0,-94.44,82.12,-135.52,-102.74,-0.92,-0.26,-0.69,0.04,0.16,-0.0,0.24,-0.05
3,Frontcrawl,434154.0,-102.09,80.6,-142.66,-114.5,-0.92,-0.24,-0.74,0.04,0.16,-0.0,0.24,-0.05
4,Frontcrawl,434164.0,-107.71,79.01,-147.77,-117.84,-0.92,-0.22,-0.74,0.04,0.16,0.0,0.24,-0.05
5,Frontcrawl,434174.0,-112.11,77.39,-151.67,-119.86,-0.9,-0.2,-0.81,0.04,0.15,0.0,0.24,-0.05
6,Frontcrawl,434184.0,-115.75,75.75,-154.84,-121.03,-0.9,-0.15,-0.81,0.04,0.15,0.01,0.24,-0.05
7,Frontcrawl,434194.0,-118.89,74.09,-157.59,-121.62,-0.85,-0.14,-0.87,0.03,0.16,0.01,0.24,-0.05
8,Frontcrawl,434204.0,-121.52,72.44,-159.84,-131.28,-0.82,-0.14,-0.92,0.03,0.15,0.01,0.23,-0.05
9,Frontcrawl,434214.0,-123.72,70.84,-161.65,-131.51,-0.8,-0.15,-0.94,0.03,0.14,0.02,0.23,-0.05
10,Frontcrawl,434224.0,-125.66,69.29,-163.14,-131.34,-0.78,-0.12,-0.97,0.03,0.14,0.02,0.23,-0.05
11,Frontcrawl,434234.0,-127.39,67.79,-164.44,-130.88,-0.77,-0.12,-1.0,0.03,0.13,0.02,0.23,-0.05
12,Frontcrawl,434244.0,-128.99,66.35,-165.63,-130.27,-0.79,-0.16,-1.04,0.03,0.13,0.03,0.23,-0.05
13,Frontcrawl,434254.0,-130.53,64.91,-166.73,-135.65,-0.75,-0.12,-1.04,0.03,0.12,0.03,0.22,-0.05
14,Frontcrawl,434264.0,-131.9,63.49,-167.65,-134.98,-0.75,-0.13,-1.07,0.03,0.12,0.03,0.22,-0.05
15,Frontcrawl,434274.0,-133.11,62.09,-168.36,-133.91,-0.72,-0.15,-1.12,0.04,0.12,0.03,0.22,-0.05
16,Frontcrawl,434284.0,-134.17,60.72,-168.83,-132.34,-0.73,-0.16,-1.11,0.05,0.12,0.03,0.22,-0.05
17,Frontcrawl,434294.0,-135.14,59.39,-169.19,-130.5,-0.73,-0.12,-1.0,0.05,0.11,0.02,0.22,-0.05
18,Frontcrawl,434304.0,-136.03,58.06,-169.49,-137.42,-0.72,-0.11,-1.08,0.05,0.11,0.02,0.2,-0.05
19,Frontcrawl,434314.0,-136.85,56.77,-169.7,-135.78,-0.74,-0.1,-1.08,0.05,0.11,0.02,0.2,-0.05
20,Frontcrawl,434324.0,-137.59,55.53,-169.81,-133.89,-0.77,-0.13,-1.07,0.05,0.11,0.02,0.2,-0.05
21,Frontcrawl,434334.0,-138.24,54.32,-169.85,-131.77,-0.78,-0.11,-1.04,0.05,0.1,0.02,0.2,-0.05
22,Frontcrawl,434344.0,-138.86,53.14,-169.87,-129.52,-0.78,-0.08,-1.04,0.05,0.1,0.01,0.2,-0.05
23,Frontcrawl,434354.0,-139.41,52.02,-169.85,-134.1,-0.77,-0.07,-1.05,0.05,0.1,0.01,0.19,-0.04
24,Frontcrawl,434364.0,-139.89,50.94,-169.8,-132.03,-0.78,-0.07,-1.05,0.05,0.09,0.01,0.19,-0.04
25,Frontcrawl,434374.0,-140.34,49.88,-169.72,-129.84,-0.78,-0.06,-1.06,0.05,0.09,0.01,0.19,-0.04
26,Frontcrawl,434384.0,-140.77,48.86,-169.62,-127.53,-0.81,-0.07,-1.08,0.05,0.09,0.01,0.19,-0.04
27,Frontcrawl,434394.0,-141.17,48.09,-169.48,-125.58,-1.33,-0.08,-1.06,0.05,0.09,0.0,0.19,-0.04
28,Frontcrawl,434404.0,-141.7,46.85,-169.32,-132.66,-0.61,-0.07,-1.06,0.06,0.11,0.01,0.17,-0.04
29,Frontcrawl,434414.0,-141.97,45.7,-168.91,-129.59,-0.48,-0.17,-1.09,0.06,0.09,-0.0,0.17,-0.04
30,Frontcrawl,434424.0,-142.2,44.85,-168.5,-127.05,-0.93,-0.1,-1.01,0.07,0.08,-0.01,0.17,-0.04
31,Frontcrawl,434434.0,-142.42,43.83,-168.09,-124.05,-0.66,-0.15,-1.09,0.06,0.09,-0.01,0.17,-0.04
32,Frontcrawl,434444.0,-142.59,42.88,-167.67,-121.08,-0.66,-0.21,-1.09,0.06,0.08,-0.01,0.17,-0.04
33,Frontcrawl,434454.0,-142.84,42.08,-167.31,-128.85,-0.88,-0.11,-1.04,0.06,0.08,-0.0,0.16,-0.03
34,Frontcrawl,434464.0,-143.06,41.12,-166.83,-125.89,-0.67,-0.25,-1.07,0.06,0.08,-0.0,0.16,-0.03
35,Frontcrawl,434474.0,-143.3,40.19,-166.38,-122.96,-0.67,-0.2,-1.04,0.07,0.08,-0.0,0.16,-0.03
36,Frontcrawl,434484.0,-143.53,39.31,-165.93,-120.09,-0.71,-0.25,-1.05,0.06,0.08,-0.0,0.16,-0.03
37,Frontcrawl,434494.0,-143.75,38.38,-165.48,-117.06,-0.65,-0.25,-1.13,0.06,0.08,-0.01,0.16,-0.03
38,Frontcrawl,434504.0,-143.97,37.38,-164.99,-124.29,-0.58,-0.27,-1.19,0.07,0.09,-0.01,0.15,-0.01
39,Frontcrawl,434514.0,-144.26,36.42,-164.5,-121.1,-0.6,-0.25,-1.22,0.07,0.08,-0.0,0.15,-0.01
40,Frontcrawl,434524.0,-144.57,35.48,-163.98,-117.85,-0.59,-0.28,-1.22,0.08,0.08,-0.0,0.15,-0.01
41,Frontcrawl,434534.0,-144.87,34.54,-163.35,-114.39,-0.54,-0.37,-1.2,0.08,0.08,0.0,0.15,-0.01
42,Frontcrawl,434544.0,-145.15,33.66,-162.59,-110.97,-0.61,-0.39,-1.15,0.1,0.08,-0.0,0.15,-0.01
43,Frontcrawl,434554.0,-145.41,32.74,-161.64,-118.82,-0.61,-0.44,-1.09,0.11,0.09,-0.0,0.13,-0.0
44,Frontcrawl,434564.0,-145.63,31.89,-160.5,-114.95,-0.69,-0.49,-0.99,0.12,0.09,-0.01,0.13,-0.0
45,Frontcrawl,434574.0,-145.78,31.12,-159.2,-111.24,-0.56,-0.51,-0.86,0.13,0.08,-0.01,0.13,-0.0
46,Frontcrawl,434584.0,-145.93,30.45,-157.92,-108.08,-0.53,-0.51,-0.79,0.12,0.08,-0.0,0.13,-0.0
47,Frontcrawl,434594.0,-145.94,29.84,-156.47,-105.07,-0.58,-0.69,-0.8,0.12,0.08,-0.01,0.13,-0.0
48,Frontcrawl,434604.0,-146.08,29.19,-155.09,-113.85,-0.54,-0.53,-0.84,0.14,0.07,-0.01,0.11,0.02
49,Frontcrawl,434614.0,-146.26,28.66,-153.6,-110.68,-0.56,-0.54,-0.89,0.16,0.06,-0.01,0.11,0.02
50,Frontcrawl,434624.0,-146.45,28.22,-152.07,-107.93,-0.5,-0.48,-0.9,0.17,0.05,-0.01,0.11,0.02
51,Frontcrawl,434634.0,-146.57,27.87,-150.41,-105.47,-0.44,-0.57,-0.82,0.17,0.04,-0.0,0.11,0.02
52,Frontcrawl,434644.0,-146.73,27.85,-148.86,-103.96,-0.62,-0.62,-0.84,0.16,0.03,0.01,0.11,0.02
53,Frontcrawl,434654.0,-146.97,27.73,-147.32,-113.01,-0.56,-0.66,-0.82,0.16,0.03,0.01,0.1,0.06
54,Frontcrawl,434664.0,-147.4,27.56,-145.93,-110.97,-0.5,-0.7,-0.87,0.16,0.04,0.03,0.1,0.06
55,Frontcrawl,434674.0,-147.91,27.46,-144.52,-109.2,-0.51,-0.68,-0.84,0.17,0.04,0.03,0.1,0.06
56,Frontcrawl,434684.0,-148.33,27.39,-142.94,-107.45,-0.49,-0.7,-0.8,0.18,0.04,0.03,0.1,0.06
57,Frontcrawl,434694.0,-148.62,27.22,-141.2,-105.5,-0.41,-0.67,-0.78,0.2,0.03,0.01,0.1,0.06
58,Frontcrawl,434704.0,-148.91,26.95,-139.36,-110.59,-0.41,-0.69,-0.78,0.2,0.04,0.01,0.09,0.09
59,Frontcrawl,434714.0,-149.19,26.47,-137.52,-107.75,-0.28,-0.7,-0.72,0.2,0.05,-0.0,0.09,0.09
60,Frontcrawl,434724.0,-149.51,26.04,-135.75,-105.31,-0.34,-0.72,-0.66,0.2,0.05,-0.0,0.09,0.09
61,Frontcrawl,434734.0,-149.9,25.26,-134.22,-102.67,0.07,-0.66,-0.71,0.18,0.06,-0.01,0.09,0.09
62,Frontcrawl,434744.0,-150.25,24.66,-132.66,-100.51,-0.02,-0.86,-0.69,0.18,0.05,0.01,0.09,0.09
63,Frontcrawl,434754.0,-150.62,24.24,-131.05,-104.77,-0.17,-0.82,-0.58,0.18,0.05,0.01,0.09,0.12
64,Frontcrawl,434764.0,-151.08,23.9,-129.53,-102.82,-0.19,-0.79,-0.58,0.18,0.05,0.02,0.09,0.12
65,Frontcrawl,434774.0,-151.55,23.69,-128.02,-101.29,-0.3,-0.81,-0.6,0.18,0.05,0.01,0.09,0.12
66,Frontcrawl,434784.0,-151.69,23.31,-126.2,-99.37,-0.14,-0.81,-0.38,0.18,0.04,0.01,0.09,0.12
67,Frontcrawl,434794.0,-151.89,23.4,-124.6,-98.5,-0.27,-0.7,-0.38,0.17,0.03,0.02,0.09,0.12
68,Frontcrawl,434804.0,-151.96,23.68,-122.54,-103.76,-0.27,-0.82,-0.31,0.19,0.01,0.04,0.08,0.16
69,Frontcrawl,434814.0,-151.89,23.65,-120.46,-102.1,-0.05,-0.88,-0.38,0.2,-0.01,0.03,0.08,0.16
70,Frontcrawl,434824.0,-151.84,23.48,-118.5,-100.43,0.07,-0.79,-0.52,0.21,-0.01,0.01,0.08,0.16
71,Frontcrawl,434834.0,-151.88,23.26,-116.81,-98.99,0.17,-0.87,-0.56,0.19,-0.0,0.01,0.08,0.16
72,Frontcrawl,434844.0,-151.91,22.83,-115.27,-97.44,0.3,-0.97,-0.37,0.16,0.01,0.01,0.08,0.16
73,Frontcrawl,434854.0,-151.92,22.3,-113.76,-97.63,0.05,-0.9,-0.21,0.14,0.02,-0.0,0.09,0.18
74,Frontcrawl,434864.0,-151.91,21.87,-112.2,-95.99,0.04,-0.8,-0.0,0.13,0.02,-0.01,0.09,0.18
75,Frontcrawl,434874.0,-151.91,21.47,-110.69,-94.55,0.14,-0.84,0.08,0.13,0.02,-0.01,0.09,0.18
76,Frontcrawl,434884.0,-151.87,20.95,-109.28,-93.07,0.27,-0.81,0.0,0.13,0.02,-0.01,0.09,0.18
77,Frontcrawl,434894.0,-151.86,20.38,-108.04,-92.91,0.35,-0.84,-0.06,0.12,0.01,-0.01,0.09,0.2
78,Frontcrawl,434904.0,-151.87,19.86,-106.77,-91.51,0.37,-0.94,0.01,0.12,0.02,-0.01,0.09,0.2
79,Frontcrawl,434914.0,-151.92,19.46,-105.43,-90.37,0.43,-1.08,0.13,0.12,0.02,-0.0,0.09,0.2
80,Frontcrawl,434924.0,-151.98,19.11,-104.11,-89.39,0.44,-1.25,0.17,0.12,0.02,0.0,0.09,0.2
81,Frontcrawl,434934.0,-152.05,18.78,-102.95,-88.55,0.68,-1.45,0.13,0.11,0.02,0.01,0.09,0.2
82,Frontcrawl,434944.0,-152.1,18.51,-101.89,-89.47,0.89,-1.64,0.1,0.1,0.01,0.01,0.08,0.2
83,Frontcrawl,434954.0,-152.14,18.36,-100.83,-88.92,1.01,-1.6,0.11,0.1,0.01,0.02,0.08,0.2
84,Frontcrawl,434964.0,-152.16,18.36,-99.72,-88.6,0.94,-1.35,0.32,0.1,0.01,0.03,0.08,0.2
85,Frontcrawl,434974.0,-152.19,18.42,-98.63,-88.4,1.06,-1.11,0.41,0.1,0.01,0.04,0.08,0.2
86,Frontcrawl,434984.0,-152.15,18.48,-97.55,-88.19,1.16,-0.94,0.52,0.1,-0.0,0.03,0.08,0.2
87,Frontcrawl,434994.0,-151.97,18.45,-96.54,-87.44,1.29,-0.89,0.52,0.09,-0.01,0.02,0.09,0.21
88,Frontcrawl,435004.0,-151.65,18.37,-95.59,-87.08,1.39,-0.87,0.54,0.08,-0.02,0.02,0.09,0.21
89,Frontcrawl,435014.0,-151.19,18.34,-94.7,-86.83,1.35,-0.92,0.55,0.07,-0.04,0.02,0.09,0.21
90,Frontcrawl,435024.0,-150.61,18.39,-93.82,-86.68,1.32,-0.99,0.61,0.06,-0.05,0.03,0.09,0.21
91,Frontcrawl,435034.0,-149.97,18.48,-92.96,-86.61,1.36,-1.06,0.63,0.06,-0.05,0.03,0.09,0.21
92,Frontcrawl,435044.0,-149.23,18.62,-92.09,-86.43,1.39,-1.2,0.66,0.06,-0.06,0.04,0.09,0.22
93,Frontcrawl,435054.0,-148.42,18.78,-91.25,-86.46,1.33,-1.21,0.65,0.05,-0.07,0.04,0.09,0.22
94,Frontcrawl,435064.0,-147.49,18.93,-90.47,-86.48,1.23,-1.17,0.56,0.04,-0.08,0.04,0.09,0.22
95,Frontcrawl,435074.0,-146.37,19.03,-89.69,-86.43,1.03,-1.09,0.46,0.03,-0.1,0.04,0.09,0.22
96,Frontcrawl,435084.0,-145.17,18.97,-88.98,-86.18,0.77,-1.03,0.27,0.03,-0.1,0.03,0.09,0.22
97,Frontcrawl,435094.0,-143.98,18.77,-88.34,-84.58,0.5,-0.91,0.2,0.02,-0.1,0.02,0.09,0.23
98,Frontcrawl,435104.0,-142.43,18.56,-87.66,-84.15,0.03,-0.9,0.15,0.02,-0.11,0.01,0.09,0.23
99,Frontcrawl,435114.0,-140.69,18.98,-86.98,-84.6,-0.39,-0.96,0.2,0.01,-0.14,0.01,0.09,0.23
100,Frontcrawl,435124.0,-138.54,18.99,-86.03,-84.42,-0.35,-1.07,0.6,0.0,-0.18,-0.0,0.09,0.23
101,Frontcrawl,435134.0,-136.3,18.63,-85.0,-83.75,-0.0,-0.96,0.55,0.01,-0.19,-0.01,0.09,0.23
102,Frontcrawl,435144.0,-134.04,18.05,-83.87,-84.3,0.04,-0.86,0.3,0.02,-0.19,-0.01,0.09,0.23
103,Frontcrawl,435154.0,-131.87,17.87,-82.57,-83.83,-0.19,-1.12,0.29,0.05,-0.17,-0.01,0.09,0.23
104,Frontcrawl,435164.0,-130.41,18.01,-81.23,-83.76,-0.37,-1.15,0.56,0.07,-0.11,0.01,0.09,0.23
105,Frontcrawl,435174.0,-129.51,18.43,-80.19,-84.05,-0.94,-1.04,0.69,0.06,-0.07,0.02,0.09,0.23
106,Frontcrawl,435184.0,-128.96,18.82,-79.19,-84.29,-1.11,-0.75,0.64,0.07,-0.04,0.01,0.09,0.23
107,Frontcrawl,435194.0,-128.6,19.15,-78.25,-85.26,-0.86,-0.48,0.64,0.07,-0.02,0.0,0.09,0.25
108,Frontcrawl,435204.0,-128.34,19.51,-77.46,-85.52,-0.64,-0.45,0.64,0.05,-0.01,0.01,0.09,0.25
109,Frontcrawl,435214.0,-128.01,19.83,-76.75,-85.72,-0.44,-0.48,0.7,0.04,-0.01,0.01,0.09,0.25
110,Frontcrawl,435224.0,-127.34,19.93,-75.79,-85.59,-0.19,-0.75,0.59,0.05,-0.04,0.01,0.09,0.25
111,Frontcrawl,435234.0,-126.48,19.78,-74.7,-85.15,-0.12,-0.99,0.55,0.06,-0.05,0.01,0.09,0.25
112,Frontcrawl,435244.0,-125.7,19.48,-73.77,-85.59,-0.07,-1.06,0.43,0.06,-0.04,0.01,0.09,0.25
113,Frontcrawl,435254.0,-124.86,19.09,-72.74,-84.89,-0.02,-1.09,0.51,0.06,-0.05,0.01,0.09,0.25
114,Frontcrawl,435264.0,-123.88,18.66,-71.7,-84.18,-0.04,-1.12,0.52,0.06,-0.06,0.0,0.09,0.25
115,Frontcrawl,435274.0,-122.54,18.38,-70.74,-83.67,-0.15,-1.05,0.5,0.04,-0.09,0.01,0.09,0.25
116,Frontcrawl,435284.0,-121.16,18.38,-69.95,-83.51,-0.27,-1.02,0.49,0.03,-0.09,0.01,0.09,0.25
117,Frontcrawl,435294.0,-120.19,18.55,-69.29,-83.37,-0.35,-0.97,0.45,0.04,-0.06,0.01,0.09,0.25
118,Frontcrawl,435304.0,-119.38,18.77,-68.38,-83.43,-0.44,-0.94,0.5,0.06,-0.05,0.01,0.09,0.25
119,Frontcrawl,435314.0,-118.74,19.04,-67.35,-83.49,-0.45,-0.95,0.57,0.07,-0.03,0.01,0.09,0.25
120,Frontcrawl,435324.0,-118.25,19.34,-66.35,-83.57,-0.4,-0.89,0.63,0.06,-0.01,0.01,0.09,0.25
121,Frontcrawl,435334.0,-117.97,19.79,-65.62,-83.84,-0.42,-0.82,0.61,0.05,0.01,0.01,0.09,0.25
122,Frontcrawl,435344.0,-117.8,20.28,-65.05,-88.02,-0.41,-0.72,0.57,0.03,0.02,0.01,0.08,0.26
123,Frontcrawl,435354.0,-117.6,20.77,-64.66,-88.42,-0.37,-0.73,0.48,0.02,0.01,0.01,0.08,0.26
124,Frontcrawl,435364.0,-117.27,21.0,-64.37,-88.56,-0.27,-0.77,0.43,0.02,0.0,0.01,0.08,0.26
125,Frontcrawl,435374.0,-117.03,20.84,-64.3,-88.37,-0.11,-0.91,0.32,0.02,-0.01,0.01,0.08,0.26
126,Frontcrawl,435384.0,-116.78,20.65,-64.15,-88.13,-0.07,-1.0,0.25,0.03,-0.02,0.01,0.08,0.26
127,Frontcrawl,435394.0,-116.61,20.48,-63.79,-89.72,-0.13,-1.03,0.31,0.06,-0.01,0.0,0.08,0.27
128,Frontcrawl,435404.0,-116.35,20.4,-63.04,-89.38,-0.26,-0.99,0.5,0.08,-0.0,-0.0,0.08,0.27
129,Frontcrawl,435414.0,-115.96,20.48,-61.91,-89.08,-0.34,-0.91,0.66,0.08,-0.0,-0.01,0.08,0.27
130,Frontcrawl,435424.0,-115.66,20.61,-60.8,-88.84,-0.38,-0.77,0.75,0.07,-0.0,-0.0,0.08,0.27
131,Frontcrawl,435434.0,-115.35,20.71,-59.91,-88.64,-0.39,-0.57,0.81,0.05,-0.01,-0.0,0.08,0.27
132,Frontcrawl,435444.0,-115.05,20.91,-59.15,-91.18,-0.36,-0.43,0.56,0.04,-0.01,-0.0,0.07,0.27
133,Frontcrawl,435454.0,-114.71,21.12,-58.41,-91.12,-0.31,-0.42,0.45,0.04,-0.01,-0.0,0.07,0.27
134,Frontcrawl,435464.0,-114.41,21.13,-58.06,-91.0,-0.22,-0.59,0.37,0.03,-0.01,-0.0,0.07,0.27
135,Frontcrawl,435474.0,-114.22,21.13,-57.82,-90.9,-0.28,-0.78,0.45,0.03,-0.01,-0.0,0.07,0.27
136,Frontcrawl,435484.0,-114.16,20.95,-57.66,-90.67,-0.24,-0.87,0.52,0.03,0.0,-0.01,0.07,0.27
137,Frontcrawl,435494.0,-114.11,20.79,-57.44,-93.15,-0.27,-0.94,0.6,0.03,0.01,-0.01,0.06,0.27
138,Frontcrawl,435504.0,-114.0,20.68,-57.14,-92.92,-0.29,-0.99,0.66,0.03,0.01,-0.01,0.06,0.27
139,Frontcrawl,435514.0,-113.88,20.7,-56.82,-92.81,-0.34,-0.98,0.65,0.04,0.01,-0.0,0.06,0.27
140,Frontcrawl,435524.0,-113.73,20.77,-56.48,-92.75,-0.35,-0.91,0.6,0.04,0.0,-0.0,0.06,0.27
141,Frontcrawl,435534.0,-113.49,20.87,-56.05,-92.67,-0.35,-0.84,0.6,0.04,-0.0,-0.0,0.06,0.27
142,Frontcrawl,435544.0,-113.16,20.74,-55.43,-94.53,-0.24,-0.72,0.59,0.04,-0.01,-0.0,0.06,0.27
143,Frontcrawl,435554.0,-112.8,20.61,-54.63,-94.06,-0.21,-0.63,0.63,0.04,-0.0,-0.0,0.06,0.27
144,Frontcrawl,435564.0,-112.44,20.55,-53.81,-93.67,-0.19,-0.57,0.62,0.04,0.0,0.0,0.06,0.27
145,Frontcrawl,435574.0,-112.02,20.55,-52.97,-93.33,-0.21,-0.59,0.64,0.04,-0.0,0.01,0.06,0.27
146,Frontcrawl,435584.0,-111.58,20.45,-52.2,-92.94,-0.18,-0.65,0.67,0.04,-0.0,0.01,0.06,0.27
147,Frontcrawl,435594.0,-111.16,20.32,-51.56,-94.5,-0.22,-0.75,0.71,0.04,-0.0,0.01,0.05,0.27
148,Frontcrawl,435604.0,-110.79,20.24,-51.03,-94.2,-0.28,-0.82,0.74,0.04,-0.01,0.01,0.05,0.27
149,Frontcrawl,435614.0,-110.45,20.2,-50.53,-93.97,-0.33,-0.83,0.74,0.04,-0.01,0.0,0.05,0.27
150,Frontcrawl,435624.0,-110.06,20.08,-49.94,-93.62,-0.31,-0.8,0.76,0.04,-0.01,-0.0,0.05,0.27
151,Frontcrawl,435634.0,-109.71,19.98,-49.35,-93.3,-0.32,-0.77,0.75,0.04,-0.01,-0.0,0.05,0.27
152,Frontcrawl,435644.0,-109.4,19.78,-48.68,-93.93,-0.25,-0.72,0.74,0.04,-0.01,-0.0,0.05,0.26
153,Frontcrawl,435654.0,-109.15,19.5,-48.18,-93.48,-0.18,-0.69,0.69,0.04,-0.0,-0.0,0.05,0.26
